MemTotal:       127600524 kB
MemFree:        25221296 kB
MemAvailable:   116983172 kB
Buffers:          748512 kB
Cached:         89840244 kB
SwapCached:       155420 kB
Active:         13170620 kB
Inactive:       80976368 kB
Active(anon):    1881616 kB
Inactive(anon):  1404948 kB
Active(file):   11289004 kB
Inactive(file): 79571420 kB
Unevictable:       32052 kB
Mlocked:           23052 kB
SwapTotal:      16777212 kB
SwapFree:       15015416 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:             62932 kB
Writeback:             0 kB
AnonPages:       3564168 kB
Mapped:           941128 kB
Shmem:            126528 kB
KReclaimable:    2939152 kB
Slab:            3680932 kB
SReclaimable:    2939152 kB
SUnreclaim:       741780 kB
KernelStack:       27840 kB
ShadowCallStack:    7072 kB
PageTables:        72372 kB
SecPageTables:     14880 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    80577472 kB
Committed_AS:   15944844 kB
VmallocTotal:   135288315904 kB
VmallocUsed:      131792 kB
VmallocChunk:          0 kB
Percpu:            25280 kB
HardwareCorrupted:     0 kB
AnonHugePages:     75776 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:  66445312 kB
FilePmdMapped:         0 kB
CmaTotal:         131072 kB
CmaFree:           69320 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
